Day of Week,Entry Time,Exit Time,Meal Type,Number of People,Time Spent (minutes),Bill Amount ($),Gender,Table Location,Reservation,Customer Satisfaction,Live Music,Age Group,Weather Condition
Saturday,17:43,19:08,Lunch,2,85,60.04,Male,Booth,Yes,5,Yes,46-55,Sunny
Friday,13:12,14:20,Breakfast,2,68,134.47,Female,Outdoor,No,5,Yes,56+,Rainy
Sunday,06:15,07:08,Dinner,1,53,60.32,Female,Booth,Yes,4,No,18-24,Sunny
Wednesday,06:20,07:41,Dinner,4,81,121.37,Female,Window,No,1,No,18-24,Clear
Thursday,19:29,20:09,Lunch,1,40,99.33,Female,Booth,No,1,No,25-35,Sunny
Sunday,15:53,17:52,Dinner,4,119,36.97,Male,Outdoor,No,4,Yes,46-55,Cloudy
Friday,14:27,17:12,Breakfast,3,165,62.79,Male,Window,No,3,No,56+,Cloudy
Sunday,19:12,21:12,Lunch,6,120,104.63,Male,Outdoor,Yes,2,No,56+,Rainy
Sunday,17:47,19:55,Dinner,4,128,145.12,Other,Outdoor,No,4,No,25-35,Clear
Sunday,18:16,20:26,Lunch,1,130,46.93,Other,Outdoor,Yes,2,Yes,25-35,Cloudy
Wednesday,12:29,14:11,Dinner,3,102,37.86,Female,Booth,Yes,3,Yes,56+,Clear
Wednesday,07:32,08:41,Dinner,2,69,33.58,Female,Booth,Yes,1,No,56+,Rainy
Monday,16:16,18:51,Breakfast,5,155,60.09,Other,Outdoor,No,2,No,25-35,Cloudy
Wednesday,16:31,18:01,Lunch,1,90,52.15,Female,Window,Yes,3,No,56+,Rainy
Tuesday,15:01,16:34,Breakfast,3,93,50.37,Male,Booth,Yes,1,Yes,46-55,Clear
Wednesday,16:27,16:58,Dinner,6,31,127.02,Female,Booth,Yes,1,Yes,36-45,Sunny
Sunday,12:13,14:35,Breakfast,3,142,147.18,Male,Window,No,5,Yes,46-55,Sunny
Saturday,09:21,11:32,Breakfast,3,131,136.01,Female,Booth,No,5,No,56+,Clear
Saturday,10:53,13:45,Dinner,2,172,34.48,Male,Outdoor,No,1,No,36-45,Sunny
Saturday,07:38,10:03,Breakfast,3,145,79.72,Other,Window,No,2,No,18-24,Rainy
Wednesday,12:41,14:42,Lunch,2,121,145.18,Other,Outdoor,Yes,2,Yes,25-35,Clear
Monday,10:07,12:46,Breakfast,6,159,101.72,Male,Window,No,3,Yes,36-45,Clear
Sunday,19:13,22:08,Lunch,5,175,53.28,Male,Booth,Yes,5,Yes,36-45,Rainy
Sunday,21:41,00:02,Lunch,1,141,101.34,Male,Outdoor,No,5,Yes,25-35,Clear
Wednesday,10:55,13:39,Dinner,6,164,136.2,Other,Booth,Yes,1,Yes,18-24,Rainy
Tuesday,18:15,20:43,Dinner,6,148,73.53,Other,Booth,No,3,No,46-55,Rainy
Saturday,12:53,15:25,Breakfast,1,152,137.03,Female,Outdoor,No,1,No,56+,Clear
Thursday,17:03,17:40,Breakfast,2,37,75.61,Other,Window,No,5,No,25-35,Clear
Tuesday,06:06,08:12,Breakfast,5,126,55.15,Male,Booth,Yes,5,Yes,36-45,Clear
Saturday,11:47,12:19,Breakfast,6,32,10.84,Male,Outdoor,Yes,5,Yes,36-45,Rainy
Monday,15:20,17:48,Dinner,5,148,140.92,Male,Outdoor,No,5,No,18-24,Cloudy
Friday,08:25,10:52,Dinner,4,147,18.92,Other,Outdoor,Yes,3,Yes,56+,Cloudy
Monday,11:05,11:36,Dinner,2,31,113.44,Other,Window,No,4,Yes,25-35,Sunny
Tuesday,13:39,15:06,Breakfast,2,87,67.18,Male,Booth,No,2,No,36-45,Clear
Friday,10:09,12:58,Lunch,6,169,107.22,Other,Window,Yes,3,No,18-24,Cloudy
Friday,09:41,10:26,Breakfast,1,45,143.49,Female,Window,No,3,Yes,46-55,Cloudy
Tuesday,10:32,13:28,Lunch,6,176,134.12,Other,Booth,Yes,4,No,56+,Clear
Thursday,12:22,13:01,Lunch,2,39,127.61,Other,Booth,No,2,Yes,36-45,Clear
Sunday,08:26,09:43,Lunch,3,77,12.23,Female,Window,Yes,4,Yes,36-45,Cloudy
Sunday,19:04,21:52,Breakfast,4,168,88.23,Female,Outdoor,No,2,No,56+,Cloudy
Monday,21:25,23:14,Dinner,1,109,57.86,Male,Outdoor,Yes,4,No,56+,Rainy
Tuesday,09:13,10:58,Lunch,4,105,51.75,Male,Window,Yes,3,No,56+,Rainy
Tuesday,10:13,12:37,Breakfast,6,144,19.72,Male,Outdoor,Yes,3,No,46-55,Sunny
Sunday,08:54,11:09,Lunch,4,135,74.86,Male,Booth,No,1,Yes,18-24,Clear
Sunday,19:31,21:28,Dinner,4,117,146.89,Male,Window,Yes,3,Yes,18-24,Sunny
Saturday,13:57,16:08,Breakfast,4,131,65.48,Female,Booth,No,3,No,36-45,Rainy
Sunday,12:44,14:58,Dinner,3,134,108.98,Other,Outdoor,No,5,Yes,25-35,Clear
Sunday,09:55,11:01,Dinner,1,66,52.58,Male,Window,No,2,No,56+,Clear
Saturday,11:47,14:36,Breakfast,4,169,124.09,Female,Outdoor,Yes,3,Yes,56+,Clear
Thursday,20:58,22:58,Breakfast,1,120,75.18,Male,Outdoor,No,1,Yes,56+,Rainy
Monday,09:26,10:10,Dinner,1,44,10.36,Male,Window,Yes,5,Yes,25-35,Rainy
Thursday,19:48,21:03,Dinner,5,75,101.65,Male,Window,Yes,2,Yes,36-45,Sunny
Monday,15:10,15:54,Lunch,2,44,58.23,Other,Booth,No,1,No,36-45,Clear
Thursday,09:11,11:57,Dinner,5,166,109.8,Male,Window,No,5,Yes,56+,Rainy
Thursday,14:27,16:53,Lunch,4,146,133.48,Female,Window,No,2,Yes,56+,Sunny
Monday,12:21,14:50,Breakfast,4,149,47.56,Female,Window,Yes,1,Yes,56+,Cloudy
Tuesday,08:40,09:20,Lunch,4,40,20.89,Female,Window,Yes,2,No,18-24,Clear
Thursday,08:44,11:10,Breakfast,5,146,21.83,Other,Outdoor,Yes,5,Yes,36-45,Rainy
Thursday,14:01,16:49,Dinner,3,168,141.08,Other,Window,No,1,No,25-35,Rainy
Saturday,11:59,14:41,Dinner,4,162,113.53,Male,Booth,Yes,2,Yes,56+,Rainy
Monday,18:43,19:43,Lunch,1,60,83.47,Male,Outdoor,No,4,Yes,25-35,Cloudy
Tuesday,07:22,08:13,Dinner,3,51,26.47,Female,Outdoor,Yes,1,No,56+,Sunny
Saturday,08:41,11:06,Lunch,1,145,134.45,Female,Window,Yes,4,Yes,46-55,Sunny
Tuesday,15:52,17:53,Dinner,1,121,105.24,Male,Window,No,1,No,46-55,Cloudy
Sunday,14:48,17:11,Dinner,6,143,28.95,Female,Outdoor,No,5,Yes,46-55,Cloudy
Saturday,20:33,22:57,Breakfast,6,144,140.09,Other,Window,No,2,No,36-45,Rainy
Monday,08:05,09:12,Dinner,5,67,13.88,Other,Booth,No,3,Yes,18-24,Cloudy
Thursday,15:25,17:56,Dinner,3,151,38.57,Male,Window,No,1,Yes,56+,Rainy
Monday,09:51,11:52,Lunch,5,121,13.46,Female,Outdoor,Yes,4,Yes,18-24,Clear
Friday,21:30,23:04,Dinner,5,94,97.24,Male,Outdoor,No,5,No,46-55,Rainy
Thursday,18:27,21:15,Dinner,5,168,58.84,Male,Booth,No,2,Yes,25-35,Sunny
Thursday,16:04,18:42,Lunch,6,158,132.18,Other,Outdoor,No,2,Yes,36-45,Clear
Wednesday,07:23,09:57,Lunch,1,154,56.06,Female,Outdoor,No,2,Yes,18-24,Sunny
Wednesday,11:26,14:24,Dinner,2,178,123.78,Female,Booth,No,3,No,25-35,Sunny
Monday,14:34,17:11,Dinner,3,157,23.89,Other,Booth,No,2,No,56+,Sunny
Thursday,20:06,22:08,Lunch,3,122,113.23,Male,Booth,No,5,Yes,18-24,Cloudy
Wednesday,21:41,23:47,Lunch,5,126,118.92,Male,Booth,Yes,3,Yes,46-55,Cloudy
Friday,08:11,09:16,Lunch,1,65,35.19,Other,Booth,No,1,No,56+,Sunny
Monday,15:21,16:42,Lunch,4,81,17.18,Male,Booth,Yes,4,No,46-55,Cloudy
Friday,17:35,18:59,Lunch,4,84,78.48,Other,Booth,No,5,No,18-24,Cloudy
Sunday,12:25,13:27,Dinner,5,62,121.05,Male,Window,No,5,No,56+,Sunny
Sunday,07:47,08:25,Dinner,4,38,15.96,Other,Booth,No,3,No,36-45,Sunny
Wednesday,12:43,14:06,Breakfast,6,83,107.06,Other,Booth,Yes,4,Yes,46-55,Clear
Sunday,17:39,18:50,Lunch,2,71,99.15,Other,Booth,Yes,4,Yes,56+,Cloudy
Tuesday,11:28,13:57,Lunch,3,149,117.84,Female,Window,No,3,No,25-35,Rainy
Thursday,07:41,09:24,Dinner,2,103,26.56,Other,Outdoor,No,4,Yes,18-24,Cloudy
Wednesday,06:48,07:34,Lunch,2,46,24.25,Female,Window,Yes,5,No,18-24,Clear
Thursday,17:38,20:13,Dinner,6,155,74.57,Female,Booth,Yes,2,No,46-55,Sunny
Monday,14:05,17:05,Lunch,1,180,115.02,Male,Window,Yes,4,No,18-24,Cloudy
Friday,13:48,16:29,Breakfast,4,161,61.29,Other,Window,No,2,No,18-24,Clear
Monday,21:35,23:31,Breakfast,2,116,141.61,Other,Window,Yes,1,No,25-35,Clear
Friday,16:17,18:19,Lunch,2,122,130.62,Other,Window,Yes,5,Yes,18-24,Clear
Monday,17:46,20:02,Lunch,3,136,11.78,Male,Booth,Yes,2,Yes,46-55,Cloudy
Sunday,07:25,10:00,Lunch,3,155,79.53,Other,Window,No,4,No,36-45,Rainy
Thursday,10:23,12:44,Dinner,1,141,80.13,Other,Booth,Yes,2,No,36-45,Rainy
Wednesday,18:10,18:52,Breakfast,6,42,149.96,Other,Outdoor,No,4,Yes,18-24,Cloudy
Sunday,10:38,11:08,Dinner,6,30,134.01,Male,Outdoor,Yes,4,Yes,46-55,Rainy
Wednesday,17:44,20:09,Lunch,4,145,30.63,Male,Outdoor,Yes,1,No,25-35,Sunny
Saturday,16:03,17:53,Dinner,1,110,28.62,Male,Outdoor,No,4,Yes,36-45,Cloudy
Friday,12:44,14:17,Breakfast,1,93,135.98,Other,Booth,No,5,Yes,18-24,Sunny
Saturday,10:29,11:09,Lunch,3,40,70.86,Other,Booth,Yes,3,Yes,18-24,Clear
Wednesday,13:25,16:05,Breakfast,5,160,48.25,Other,Window,Yes,5,No,25-35,Rainy
Sunday,08:40,09:46,Breakfast,5,66,76.67,Female,Booth,Yes,4,No,18-24,Rainy
Tuesday,18:52,19:50,Breakfast,2,58,73.85,Male,Window,Yes,4,Yes,36-45,Cloudy
Monday,10:42,11:13,Breakfast,4,31,128.93,Male,Window,Yes,5,No,25-35,Rainy
Friday,16:13,17:07,Breakfast,4,54,49.56,Male,Window,No,3,Yes,56+,Rainy
Monday,19:45,21:02,Dinner,2,77,137.59,Other,Outdoor,No,2,No,46-55,Rainy
Monday,06:06,07:33,Dinner,1,87,148.84,Male,Outdoor,No,4,No,36-45,Cloudy
Monday,10:44,13:43,Breakfast,5,179,16.73,Female,Outdoor,Yes,5,Yes,18-24,Sunny
Sunday,11:10,13:11,Lunch,6,121,71.56,Female,Booth,No,4,No,56+,Rainy
Friday,21:33,22:40,Dinner,4,67,39.9,Male,Booth,Yes,5,Yes,46-55,Rainy
Thursday,14:05,15:25,Dinner,2,80,32.94,Female,Window,No,4,Yes,25-35,Rainy
Tuesday,13:10,15:53,Lunch,2,163,147.44,Male,Booth,No,3,No,25-35,Rainy
Sunday,06:23,06:59,Dinner,1,36,64.58,Female,Outdoor,No,2,No,56+,Rainy
Thursday,16:05,16:49,Breakfast,2,44,102.58,Male,Window,No,3,No,46-55,Clear
Sunday,16:53,19:47,Lunch,1,174,130.42,Male,Window,No,5,Yes,25-35,Clear
Monday,16:40,17:12,Breakfast,2,32,147.58,Other,Booth,No,2,No,18-24,Cloudy
Tuesday,14:33,15:27,Lunch,1,54,52.48,Male,Booth,Yes,1,Yes,25-35,Cloudy
Saturday,07:13,08:18,Lunch,6,65,39.92,Male,Booth,No,1,Yes,56+,Cloudy
Wednesday,08:22,10:07,Lunch,5,105,17.78,Male,Window,Yes,2,Yes,18-24,Clear
Thursday,19:52,22:30,Lunch,4,158,83.43,Male,Booth,Yes,2,Yes,46-55,Clear
Monday,10:31,11:17,Lunch,1,46,56.78,Male,Window,No,2,Yes,46-55,Rainy
Wednesday,13:34,14:37,Lunch,1,63,70.38,Male,Outdoor,No,2,Yes,36-45,Cloudy
Wednesday,14:25,16:26,Breakfast,3,121,139.74,Male,Booth,No,2,Yes,46-55,Clear
Friday,08:31,11:23,Breakfast,3,172,111.38,Male,Outdoor,No,1,No,25-35,Sunny
Wednesday,17:32,20:13,Lunch,1,161,92.41,Male,Window,No,4,Yes,46-55,Cloudy
Thursday,09:55,10:54,Lunch,6,59,54.47,Male,Window,No,5,Yes,46-55,Clear
Tuesday,09:49,10:39,Dinner,6,50,21.19,Male,Booth,Yes,3,Yes,25-35,Clear
Tuesday,21:27,23:59,Breakfast,3,152,12.8,Other,Outdoor,Yes,5,No,18-24,Cloudy
Friday,12:39,15:34,Breakfast,1,175,17.25,Male,Window,Yes,5,No,18-24,Cloudy
Saturday,06:12,08:26,Dinner,5,134,122.26,Other,Window,No,2,Yes,36-45,Cloudy
Monday,11:56,12:33,Lunch,6,37,63.32,Female,Window,No,3,Yes,36-45,Rainy
Thursday,08:05,09:17,Lunch,6,72,149.4,Female,Outdoor,Yes,1,Yes,25-35,Cloudy
Sunday,18:57,21:10,Breakfast,4,133,142.86,Female,Booth,No,5,No,46-55,Cloudy
Sunday,06:46,08:23,Dinner,1,97,73.86,Other,Booth,Yes,5,No,18-24,Cloudy
Tuesday,12:32,15:22,Lunch,3,170,115.56,Other,Outdoor,Yes,4,No,56+,Rainy
Monday,07:51,09:58,Lunch,2,127,126.62,Female,Booth,No,1,No,25-35,Rainy
Thursday,06:39,08:39,Lunch,2,120,83.88,Female,Window,No,3,Yes,46-55,Sunny
Saturday,06:45,08:07,Lunch,5,82,80.12,Other,Window,Yes,2,Yes,25-35,Clear
Friday,21:48,23:39,Lunch,1,111,93.54,Other,Outdoor,No,1,Yes,18-24,Cloudy
Monday,11:07,12:35,Breakfast,2,88,112.27,Male,Window,Yes,4,No,18-24,Clear
Wednesday,19:58,20:33,Lunch,5,35,81.04,Male,Booth,Yes,2,Yes,36-45,Rainy
Monday,21:13,23:18,Dinner,1,125,109.51,Female,Window,No,1,No,56+,Sunny
Friday,06:40,08:16,Breakfast,4,96,122.79,Other,Outdoor,No,4,Yes,46-55,Cloudy
Friday,13:09,15:10,Dinner,4,121,126.07,Female,Booth,No,2,Yes,36-45,Cloudy
Thursday,09:32,10:54,Breakfast,4,82,89.68,Female,Booth,Yes,3,Yes,36-45,Cloudy
Sunday,15:31,17:59,Lunch,2,148,49.06,Male,Outdoor,No,4,No,36-45,Sunny
Wednesday,14:07,15:39,Dinner,4,92,84.02,Other,Window,No,3,No,25-35,Cloudy
Sunday,16:45,19:09,Dinner,2,144,118.48,Female,Booth,Yes,4,Yes,36-45,Clear
Friday,15:54,18:44,Dinner,5,170,116.64,Male,Outdoor,Yes,4,Yes,25-35,Rainy
Thursday,21:15,00:01,Dinner,5,166,41.36,Male,Booth,Yes,3,No,18-24,Sunny
Sunday,08:52,09:42,Breakfast,1,50,12.94,Male,Window,Yes,3,Yes,56+,Rainy
Friday,19:28,21:41,Breakfast,4,133,148.81,Female,Booth,No,1,Yes,18-24,Cloudy
Wednesday,13:47,16:15,Dinner,2,148,16.82,Female,Booth,No,5,No,25-35,Rainy
Saturday,12:28,14:51,Breakfast,4,143,42.36,Other,Window,No,5,No,18-24,Cloudy
Sunday,08:39,11:35,Dinner,6,176,113.8,Female,Booth,Yes,5,Yes,56+,Cloudy
Sunday,08:26,09:38,Lunch,6,72,96.92,Male,Outdoor,Yes,1,No,46-55,Sunny
Saturday,12:48,13:35,Lunch,4,47,56.02,Female,Outdoor,No,4,Yes,46-55,Clear
Monday,18:37,19:56,Dinner,3,79,117.76,Male,Booth,Yes,4,Yes,25-35,Rainy
Thursday,13:54,15:25,Dinner,4,91,14.84,Female,Booth,No,2,No,18-24,Clear
Sunday,15:47,17:06,Dinner,6,79,84.2,Other,Outdoor,Yes,4,No,46-55,Rainy
Tuesday,13:33,14:18,Dinner,1,45,93.63,Female,Outdoor,No,5,Yes,18-24,Clear
Tuesday,09:26,10:47,Lunch,1,81,82.64,Male,Window,No,2,Yes,25-35,Rainy
Tuesday,18:59,21:41,Dinner,1,162,103.71,Female,Booth,No,2,Yes,56+,Cloudy
Saturday,10:08,13:07,Lunch,5,179,87.75,Female,Window,Yes,3,Yes,46-55,Clear
Friday,08:53,10:33,Dinner,6,100,63.41,Male,Window,No,3,Yes,56+,Cloudy
Friday,08:42,10:49,Dinner,2,127,55.7,Male,Booth,Yes,5,No,46-55,Clear
Wednesday,18:50,21:13,Dinner,1,143,113.26,Other,Window,No,2,Yes,25-35,Sunny
Sunday,18:18,20:47,Dinner,6,149,64.16,Male,Booth,Yes,1,Yes,46-55,Cloudy
Saturday,15:25,17:13,Dinner,3,108,134.56,Other,Outdoor,Yes,3,Yes,46-55,Clear
Thursday,11:05,13:06,Dinner,3,121,124.64,Male,Window,No,2,No,46-55,Cloudy
Saturday,14:07,16:01,Breakfast,1,114,124.45,Female,Window,No,5,Yes,56+,Rainy
Thursday,21:06,23:38,Dinner,6,152,107.92,Male,Booth,No,3,Yes,56+,Clear
Saturday,16:19,18:39,Lunch,3,140,109.29,Other,Outdoor,No,2,Yes,56+,Sunny
Saturday,11:03,12:14,Breakfast,2,71,15.99,Other,Booth,Yes,3,Yes,46-55,Rainy
Thursday,09:14,10:46,Dinner,1,92,111.61,Female,Window,No,5,Yes,36-45,Cloudy
Friday,13:39,15:14,Breakfast,4,95,60.19,Male,Window,Yes,1,Yes,18-24,Cloudy
Saturday,18:19,21:13,Dinner,2,174,74.69,Female,Window,No,5,Yes,36-45,Clear
Tuesday,06:57,08:07,Breakfast,1,70,52.15,Other,Booth,No,2,Yes,56+,Sunny
Sunday,07:47,10:19,Dinner,2,152,114.7,Male,Booth,Yes,3,No,56+,Rainy
Wednesday,19:48,21:43,Lunch,4,115,99.3,Other,Outdoor,Yes,3,No,18-24,Cloudy
Thursday,21:54,00:16,Breakfast,5,142,14.3,Male,Outdoor,No,4,Yes,25-35,Rainy
Tuesday,15:12,16:10,Lunch,1,58,114.31,Female,Window,No,5,Yes,56+,Sunny
Friday,10:02,10:42,Breakfast,5,40,77.74,Male,Outdoor,Yes,2,Yes,36-45,Cloudy
Monday,21:53,22:37,Breakfast,1,44,27.26,Female,Booth,No,5,No,36-45,Rainy
Sunday,20:51,21:22,Dinner,2,31,103.9,Other,Window,No,2,Yes,56+,Sunny
Thursday,12:37,14:28,Lunch,2,111,147.18,Other,Window,No,3,Yes,25-35,Rainy
Monday,20:33,23:04,Breakfast,5,151,149.89,Male,Booth,Yes,4,No,56+,Clear
Wednesday,08:07,10:45,Dinner,1,158,101.8,Other,Window,Yes,4,No,36-45,Sunny
Tuesday,15:20,15:54,Breakfast,2,34,49.12,Male,Window,No,1,No,46-55,Rainy
Tuesday,18:06,20:35,Breakfast,3,149,99.91,Male,Window,Yes,3,No,56+,Cloudy
Friday,20:32,21:14,Lunch,1,42,60.03,Other,Booth,Yes,5,Yes,18-24,Cloudy
Thursday,08:04,09:06,Lunch,3,62,40.92,Other,Booth,No,4,No,25-35,Sunny
Friday,15:37,16:55,Dinner,4,78,130.08,Other,Booth,No,4,Yes,56+,Clear
Wednesday,14:22,17:07,Dinner,3,165,104.19,Other,Booth,No,5,No,18-24,Clear
Tuesday,06:57,09:05,Lunch,4,128,93,Female,Booth,Yes,1,Yes,36-45,Sunny
Monday,13:24,15:41,Breakfast,5,137,38.14,Male,Window,No,4,No,56+,Rainy
Sunday,15:17,17:29,Dinner,4,132,62,Male,Booth,No,5,No,18-24,Sunny
Monday,06:18,07:10,Breakfast,2,52,66.22,Female,Booth,No,2,Yes,18-24,Cloudy
Wednesday,11:48,14:01,Breakfast,6,133,29.49,Other,Booth,Yes,2,Yes,56+,Rainy
Friday,15:13,17:26,Breakfast,1,133,114.35,Female,Outdoor,Yes,2,Yes,56+,Rainy
Sunday,10:22,12:54,Lunch,6,152,40.77,Other,Window,No,3,Yes,56+,Rainy
Tuesday,14:01,15:24,Lunch,6,83,29.08,Female,Outdoor,No,5,No,56+,Sunny
Tuesday,19:34,20:06,Dinner,2,32,11.62,Other,Outdoor,Yes,2,Yes,25-35,Clear
Thursday,15:15,17:41,Lunch,4,146,45.34,Male,Window,Yes,1,No,18-24,Clear
Saturday,21:12,23:44,Lunch,6,152,33.04,Other,Outdoor,Yes,2,No,18-24,Sunny
Saturday,16:33,17:21,Breakfast,2,48,74.88,Female,Window,No,3,No,25-35,Rainy
Tuesday,13:53,15:39,Lunch,4,106,85.45,Female,Window,No,1,Yes,56+,Cloudy
Monday,08:56,11:15,Dinner,5,139,93.47,Female,Booth,Yes,4,No,46-55,Cloudy
Monday,06:27,07:15,Dinner,5,48,128.49,Male,Booth,Yes,5,No,46-55,Sunny
Wednesday,11:03,13:56,Dinner,3,173,133.9,Female,Booth,Yes,4,Yes,18-24,Rainy
Wednesday,21:41,23:58,Lunch,5,137,27.75,Male,Outdoor,No,2,Yes,25-35,Cloudy
Sunday,16:08,19:01,Breakfast,3,173,62.45,Male,Window,Yes,2,Yes,46-55,Cloudy
Wednesday,13:49,15:00,Lunch,4,71,95.1,Other,Window,Yes,1,Yes,36-45,Clear
Saturday,08:14,10:07,Lunch,3,113,110.35,Male,Booth,Yes,3,No,18-24,Cloudy
Thursday,16:53,18:16,Breakfast,4,83,53.71,Other,Window,No,3,Yes,18-24,Rainy
Monday,11:37,12:10,Breakfast,3,33,146.64,Male,Window,No,5,Yes,25-35,Cloudy
Monday,20:44,21:27,Lunch,1,43,122.28,Male,Booth,Yes,3,Yes,56+,Cloudy
Tuesday,11:16,13:06,Dinner,5,110,99.15,Other,Window,No,3,No,56+,Rainy
Monday,09:22,10:55,Breakfast,2,93,84.85,Female,Outdoor,Yes,3,No,18-24,Cloudy
Sunday,11:02,14:01,Dinner,5,179,43.68,Female,Window,Yes,1,No,46-55,Rainy
Wednesday,17:11,18:18,Lunch,6,67,34.61,Male,Booth,Yes,5,Yes,56+,Clear
Sunday,07:30,09:50,Dinner,4,140,42.42,Other,Booth,Yes,1,Yes,25-35,Sunny
Monday,13:39,15:02,Lunch,1,83,69.12,Other,Window,Yes,3,No,36-45,Rainy
Wednesday,08:00,08:47,Breakfast,3,47,53.85,Male,Booth,No,4,Yes,56+,Sunny
Thursday,19:43,21:24,Breakfast,2,101,37.49,Male,Booth,No,2,No,36-45,Rainy
Sunday,07:44,09:18,Breakfast,3,94,45.75,Other,Outdoor,Yes,5,Yes,18-24,Clear
Thursday,17:46,19:53,Breakfast,4,127,71.27,Other,Booth,No,3,No,56+,Rainy
Saturday,14:02,16:46,Breakfast,5,164,67.71,Male,Window,Yes,5,Yes,25-35,Sunny
Tuesday,08:00,09:06,Dinner,5,66,20.23,Male,Booth,Yes,2,Yes,56+,Cloudy
Wednesday,13:50,16:00,Dinner,2,130,141.91,Other,Outdoor,No,4,Yes,25-35,Rainy
Tuesday,15:55,17:45,Dinner,4,110,136.77,Other,Window,No,1,Yes,18-24,Cloudy
Tuesday,19:27,21:33,Dinner,3,126,75.53,Male,Booth,No,4,No,46-55,Sunny
Thursday,10:18,13:15,Dinner,2,177,13.98,Female,Outdoor,Yes,5,Yes,25-35,Sunny
Saturday,18:41,21:10,Lunch,3,149,67.73,Other,Window,Yes,2,No,36-45,Rainy
Thursday,10:56,13:12,Breakfast,5,136,52.97,Male,Window,No,1,Yes,46-55,Sunny
Saturday,13:12,15:46,Lunch,3,154,128.49,Other,Outdoor,Yes,1,Yes,18-24,Clear
Saturday,10:57,13:29,Dinner,4,152,57.54,Male,Window,No,3,No,25-35,Rainy
Saturday,14:16,15:13,Breakfast,6,57,93.22,Male,Window,No,4,No,18-24,Sunny
Friday,17:16,18:59,Breakfast,5,103,36.29,Male,Booth,No,4,No,25-35,Rainy
Thursday,19:36,21:12,Dinner,4,96,139.5,Female,Booth,Yes,1,No,56+,Cloudy
Friday,06:34,08:00,Breakfast,2,86,96.75,Female,Outdoor,Yes,1,No,46-55,Rainy
Wednesday,15:10,17:10,Lunch,2,120,140.79,Male,Outdoor,Yes,5,Yes,36-45,Clear
Tuesday,10:47,11:22,Dinner,1,35,130.32,Male,Outdoor,Yes,4,No,56+,Sunny
Friday,11:41,14:04,Lunch,3,143,40,Female,Window,Yes,1,No,36-45,Sunny
Friday,10:44,11:25,Breakfast,6,41,35.35,Other,Outdoor,No,2,Yes,56+,Cloudy
Wednesday,10:01,11:47,Lunch,3,106,62.93,Other,Outdoor,No,3,Yes,36-45,Cloudy
Friday,09:22,11:59,Lunch,6,157,11.63,Female,Booth,No,5,No,18-24,Clear
Wednesday,21:13,23:56,Lunch,4,163,26.98,Male,Window,Yes,2,Yes,36-45,Clear
Wednesday,21:54,00:00,Dinner,6,126,73.15,Female,Window,No,3,No,36-45,Rainy
Thursday,15:28,18:05,Lunch,5,157,91.99,Female,Window,No,1,No,36-45,Sunny
Friday,06:16,08:47,Lunch,4,151,77.91,Female,Window,No,1,Yes,56+,Cloudy
Tuesday,19:06,20:27,Dinner,1,81,132.95,Other,Window,No,1,Yes,56+,Clear
Friday,07:44,08:46,Dinner,5,62,138.18,Other,Outdoor,Yes,1,No,18-24,Cloudy
Friday,09:44,12:43,Lunch,3,179,117.87,Other,Window,No,1,No,46-55,Rainy
Friday,10:16,12:25,Breakfast,6,129,83.65,Female,Booth,No,1,Yes,56+,Cloudy
Tuesday,18:13,19:11,Breakfast,5,58,44,Female,Booth,No,5,Yes,25-35,Sunny
Sunday,21:29,22:18,Dinner,5,49,15.5,Male,Outdoor,Yes,3,No,46-55,Rainy
Wednesday,14:58,17:45,Dinner,2,167,42,Male,Outdoor,Yes,4,No,56+,Rainy
Saturday,12:24,14:02,Dinner,6,98,133.45,Other,Window,Yes,5,Yes,36-45,Rainy
Wednesday,16:01,18:31,Lunch,3,150,147.79,Female,Window,Yes,4,Yes,36-45,Cloudy
Tuesday,13:30,15:37,Breakfast,3,127,114.13,Other,Outdoor,Yes,2,Yes,46-55,Clear
Thursday,19:56,21:02,Dinner,3,66,66.34,Female,Booth,No,4,No,25-35,Rainy
Sunday,06:57,09:01,Dinner,4,124,126.29,Male,Booth,Yes,3,No,56+,Rainy
Wednesday,20:21,21:56,Lunch,3,95,39.32,Female,Outdoor,No,1,No,56+,Clear
Sunday,08:58,10:43,Lunch,3,105,114.87,Female,Window,Yes,3,No,56+,Clear
Sunday,10:19,10:54,Dinner,1,35,30.28,Other,Booth,Yes,2,Yes,46-55,Sunny
Sunday,17:15,18:40,Lunch,3,85,46.75,Female,Window,Yes,5,Yes,36-45,Rainy
Saturday,07:28,09:38,Lunch,4,130,25.65,Female,Window,No,5,Yes,46-55,Rainy
Sunday,21:33,22:31,Breakfast,3,58,144.15,Other,Outdoor,No,5,No,56+,Clear
Tuesday,12:01,13:14,Dinner,3,73,82.48,Other,Outdoor,No,5,No,46-55,Rainy
Wednesday,06:02,08:48,Breakfast,6,166,67.68,Male,Booth,No,4,Yes,25-35,Rainy
Saturday,17:05,19:37,Lunch,1,152,58.44,Male,Outdoor,No,1,Yes,18-24,Clear
Wednesday,15:55,18:52,Lunch,2,177,107.68,Male,Booth,No,2,No,25-35,Rainy
Monday,07:32,09:52,Dinner,1,140,86.3,Female,Window,Yes,3,No,46-55,Clear
Thursday,12:50,14:39,Dinner,5,109,86.24,Female,Window,Yes,3,No,36-45,Rainy
